ID,Exp,Rep,Trial_nb,Arena,Time,Temp,Mass,Dist,UZ,Latency,LatBi,DistPre,UZPre,LatencyPre,LatBiPre,DistPost,UZPost,LatencyPost,LatBiPost
GS_Pred_NM_11,Post,4,Trial     5,Arena 3,12:11,26.2,0.357,140.881,18,1,1,NA,NA,NA,NA,140.881,18,1,1
GS_Pred_NM_11,Post,5,Trial    17,Arena 2,3:14,25.6,0.368,59.8555,1,6,1,NA,NA,NA,NA,59.8555,1,6,1
GS_Pred_NM_11,Post,6,Trial    28,Arena 1,4:13,26.5,0.37,193.748,20,26,1,NA,NA,NA,NA,193.748,20,26,1
GS_Pred_NM_12,Post,4,Trial     9,Arena 2,1:52,26.3,0.461,42.6449,1,360,0,NA,NA,NA,NA,42.6449,1,360,0
GS_Pred_NM_12,Post,5,Trial    16,Arena 4,2:51,25.3,0.466,21.8384,1,360,0,NA,NA,NA,NA,21.8384,1,360,0
GS_Pred_NM_12,Post,6,Trial    26,Arena 4,3:31,26.4,0.474,167.916,23,360,0,NA,NA,NA,NA,167.916,23,360,0
GS_Pred_NM_13,Post,4,Trial     7,Arena 3,1:03,25.9,0.24,816.373,29,360,0,NA,NA,NA,NA,816.373,29,360,0
GS_Pred_NM_13,Post,5,Trial    11,Arena 3,2:42,26.6,0.236,24.8421,1,360,0,NA,NA,NA,NA,24.8421,1,360,0
GS_Pred_NM_13,Post,6,Trial    24,Arena 1,2:51,25.8,0.226,109.296,18,360,0,NA,NA,NA,NA,109.296,18,360,0
GS_Pred_NM_15,Post,4,Trial     3,Arena 3,11:22,26.1,0.418,324.923,19,16,1,NA,NA,NA,NA,324.923,19,16,1
GS_Pred_NM_15,Post,5,Trial    13,Arena 2,3:31,26.8,0.427,269.984,20,277,1,NA,NA,NA,NA,269.984,20,277,1
GS_Pred_NM_15,Post,6,Trial    23,Arena 4,12:21,25.8,0.429,438.673,20,360,0,NA,NA,NA,NA,438.673,20,360,0
GS_Pred_NM_16,Post,4,Trial     4,Arena 1,11:46,26.2,0.31,44.1397,1,55,1,NA,NA,NA,NA,44.1397,1,55,1
GS_Pred_NM_16,Post,5,Trial    12,Arena 4,3:05,26.7,0.305,277.813,20,360,0,NA,NA,NA,NA,277.813,20,360,0
GS_Pred_NM_16,Post,6,Trial    21,Arena 1,6:32,26.1,0.304,166.972,23,9,1,NA,NA,NA,NA,166.972,23,9,1
GS_Pred_NM_17,Post,4,Trial     2,Arena 3,10:57,25.9,0.312,741.49,29,11,1,NA,NA,NA,NA,741.49,29,11,1
GS_Pred_NM_17,Post,5,Trial    15,Arena 1,4:18,26.5,0.3,83.4005,7,100,1,NA,NA,NA,NA,83.4005,7,100,1
GS_Pred_NM_17,Post,6,Trial    24,Arena 3,2:51,25.8,0.285,609.789,29,5,1,NA,NA,NA,NA,609.789,29,5,1
GS_Pred_NM_2,Post,4,Trial     3,Arena 4,11:22,26.1,0.302,391.482,24,27,1,NA,NA,NA,NA,391.482,24,27,1
GS_Pred_NM_2,Post,5,Trial    18,Arena 2,5:30,25.4,0.302,260.862,21,201,1,NA,NA,NA,NA,260.862,21,201,1
GS_Pred_NM_2,Post,6,Trial    26,Arena 3,3:31,26.4,0.302,144.141,19,55,1,NA,NA,NA,NA,144.141,19,55,1
GS_Pred_NM_20,Post,4,Trial     7,Arena 4,1:03,25.9,0.329,37.3007,1,344,1,NA,NA,NA,NA,37.3007,1,344,1
GS_Pred_NM_20,Post,5,Trial    12,Arena 2,3:05,26.7,0.326,55.9771,2,1,1,NA,NA,NA,NA,55.9771,2,1,1
GS_Pred_NM_20,Post,6,Trial    21,Arena 3,6:32,26.1,0.322,528.109,21,245,1,NA,NA,NA,NA,528.109,21,245,1
GS_Pred_NM_21,Post,4,Trial     8,Arena 4,1:27,26.1,0.327,41.6472,1,360,0,NA,NA,NA,NA,41.6472,1,360,0
GS_Pred_NM_21,Post,5,Trial    19,Arena 4,5:52,25.8,0.331,223.109,21,268,1,NA,NA,NA,NA,223.109,21,268,1
GS_Pred_NM_21,Post,6,Trial    27,Arena 1,3:52,26.3,0.327,29.5333,1,360,0,NA,NA,NA,NA,29.5333,1,360,0
GS_Pred_NM_22,Post,4,Trial     5,Arena 4,12:11,26.2,0.321,13.6703,1,360,0,NA,NA,NA,NA,13.6703,1,360,0
GS_Pred_NM_22,Post,5,Trial    16,Arena 3,2:51,25.3,0.33,44.0567,1,360,0,NA,NA,NA,NA,44.0567,1,360,0
GS_Pred_NM_22,Post,6,Trial    25,Arena 4,3:11,26.2,0.323,7.18791,1,360,0,NA,NA,NA,NA,7.18791,1,360,0
GS_Pred_NM_23,Post,4,Trial     6,Arena 2,1:24,26.1,0.463,28.9987,1,360,0,NA,NA,NA,NA,28.9987,1,360,0
GS_Pred_NM_23,Post,5,Trial    12,Arena 3,3:05,26.7,0.446,758.941,28,285,1,NA,NA,NA,NA,758.941,28,285,1
GS_Pred_NM_23,Post,6,Trial    24,Arena 4,2:51,25.8,0.427,548.726,25,360,0,NA,NA,NA,NA,548.726,25,360,0
GS_Pred_NM_24,Post,4,Trial     2,Arena 1,10:57,25.9,0.381,540.517,27,360,0,NA,NA,NA,NA,540.517,27,360,0
GS_Pred_NM_24,Post,5,Trial    17,Arena 3,3:14,25.6,0.38,611.271,27,360,0,NA,NA,NA,NA,611.271,27,360,0
GS_Pred_NM_24,Post,6,Trial    25,Arena 2,3:11,26.2,0.354,24.2528,1,360,0,NA,NA,NA,NA,24.2528,1,360,0
GS_Pred_NM_25,Post,4,Trial    10,Arena 2,2:16,26.4,0.4,25.7801,1,360,0,NA,NA,NA,NA,25.7801,1,360,0
GS_Pred_NM_25,Post,5,Trial    13,Arena 4,3:31,26.8,0.402,254.857,20,360,0,NA,NA,NA,NA,254.857,20,360,0
